Time Stamp,Time Zone,Fuel Category,Gen MW
12/30/2021 04:30:00,EST,Natural Gas,1629.0
12/30/2021 04:30:00,EST,Nuclear,3350.0
12/30/2021 04:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:30:00,EST,Other Renewables,244.0
12/30/2021 04:30:00,EST,Wind,15.0
12/30/2021 04:30:00,EST,Hydro,3023.0
12/30/2021 04:35:00,EST,Dual Fuel,3367.0
12/30/2021 04:35:00,EST,Natural Gas,1625.0
12/30/2021 04:35:00,EST,Nuclear,3352.0
12/30/2021 04:35:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:35:00,EST,Other Renewables,244.0
12/30/2021 04:35:00,EST,Wind,14.0
12/30/2021 04:35:00,EST,Hydro,2986.0
12/30/2021 04:40:00,EST,Dual Fuel,3387.0
12/30/2021 04:40:00,EST,Natural Gas,1596.0
12/30/2021 04:40:00,EST,Nuclear,3335.0
12/30/2021 04:40:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:40:00,EST,Other Renewables,242.0
12/30/2021 04:40:00,EST,Wind,13.0
12/30/2021 04:40:00,EST,Hydro,2958.0
12/30/2021 04:45:00,EST,Dual Fuel,3425.0
12/30/2021 04:45:00,EST,Natural Gas,1593.0
12/30/2021 04:45:00,EST,Nuclear,3334.0
12/30/2021 04:45:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:45:00,EST,Other Renewables,242.0
12/30/2021 04:45:00,EST,Wind,15.0
12/30/2021 04:45:00,EST,Hydro,2959.0
12/30/2021 04:50:00,EST,Dual Fuel,3478.0
12/30/2021 04:50:00,EST,Natural Gas,1586.0
12/30/2021 04:50:00,EST,Nuclear,3335.0
12/30/2021 04:50:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:50:00,EST,Other Renewables,244.0
12/30/2021 04:50:00,EST,Wind,17.0
12/30/2021 04:50:00,EST,Hydro,2948.0
12/30/2021 04:55:00,EST,Dual Fuel,3507.0
12/30/2021 04:55:00,EST,Natural Gas,1579.0
12/30/2021 04:55:00,EST,Nuclear,3334.0
12/30/2021 04:55:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:55:00,EST,Other Renewables,245.0
12/30/2021 04:55:00,EST,Wind,20.0
12/30/2021 04:55:00,EST,Hydro,2950.0
12/30/2021 05:00:00,EST,Dual Fuel,3469.0
12/30/2021 05:00:00,EST,Natural Gas,1581.0
12/30/2021 05:00:00,EST,Nuclear,3335.0
12/30/2021 05:00:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:00:00,EST,Other Renewables,244.0
12/30/2021 05:00:00,EST,Wind,23.0
12/30/2021 05:00:00,EST,Hydro,2964.0
12/30/2021 05:05:00,EST,Dual Fuel,3369.0
12/30/2021 05:05:00,EST,Natural Gas,1591.0
12/30/2021 05:05:00,EST,Nuclear,3339.0
12/30/2021 05:05:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:05:00,EST,Other Renewables,245.0
12/30/2021 05:05:00,EST,Wind,27.0
12/30/2021 05:05:00,EST,Hydro,2956.0
12/30/2021 05:10:00,EST,Dual Fuel,3344.0
12/30/2021 05:10:00,EST,Natural Gas,1663.0
12/30/2021 05:10:00,EST,Nuclear,3340.0
12/30/2021 05:10:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:10:00,EST,Other Renewables,245.0
12/30/2021 05:10:00,EST,Wind,28.0
12/30/2021 05:10:00,EST,Hydro,2883.0
12/30/2021 05:15:00,EST,Dual Fuel,3328.0
12/30/2021 05:15:00,EST,Natural Gas,1682.0
12/30/2021 05:15:00,EST,Nuclear,3340.0
12/30/2021 05:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:15:00,EST,Other Renewables,245.0
12/30/2021 05:15:00,EST,Wind,29.0
12/30/2021 05:15:00,EST,Hydro,2862.0
12/30/2021 05:20:00,EST,Dual Fuel,3323.0
12/30/2021 05:20:00,EST,Natural Gas,1686.0
12/30/2021 05:20:00,EST,Nuclear,3338.0
12/30/2021 05:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:20:00,EST,Other Renewables,246.0
12/30/2021 05:20:00,EST,Wind,33.0
12/30/2021 05:20:00,EST,Hydro,2958.0
12/30/2021 05:25:00,EST,Dual Fuel,3380.0
12/30/2021 05:25:00,EST,Natural Gas,1683.0
12/30/2021 05:25:00,EST,Nuclear,3338.0
12/30/2021 05:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:25:00,EST,Other Renewables,245.0
12/30/2021 05:25:00,EST,Wind,36.0
12/30/2021 05:25:00,EST,Hydro,2961.0
12/30/2021 05:30:00,EST,Dual Fuel,3413.0
12/30/2021 05:30:00,EST,Natural Gas,1687.0
12/30/2021 05:30:00,EST,Nuclear,3335.0
12/30/2021 05:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:30:00,EST,Other Renewables,247.0
12/30/2021 05:30:00,EST,Wind,36.0
12/30/2021 05:30:00,EST,Hydro,2970.0
12/30/2021 05:35:00,EST,Dual Fuel,3425.0
12/30/2021 05:35:00,EST,Natural Gas,1695.0
12/30/2021 05:35:00,EST,Nuclear,3338.0
12/30/2021 05:35:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:35:00,EST,Other Renewables,246.0
12/30/2021 05:35:00,EST,Wind,37.0
12/30/2021 05:35:00,EST,Hydro,2978.0
12/30/2021 05:40:00,EST,Dual Fuel,3512.0
12/30/2021 05:40:00,EST,Natural Gas,1696.0
12/30/2021 05:40:00,EST,Nuclear,3339.0
12/30/2021 05:40:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:40:00,EST,Other Renewables,249.0
12/30/2021 05:40:00,EST,Wind,38.0
12/30/2021 05:40:00,EST,Hydro,2971.0
12/30/2021 05:45:00,EST,Dual Fuel,3572.0
12/30/2021 05:45:00,EST,Natural Gas,1708.0
12/30/2021 05:45:00,EST,Nuclear,3338.0
12/30/2021 05:45:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:45:00,EST,Other Renewables,247.0
12/30/2021 05:45:00,EST,Wind,38.0
12/30/2021 05:45:00,EST,Hydro,2992.0
12/30/2021 05:50:00,EST,Dual Fuel,3601.0
12/30/2021 05:50:00,EST,Natural Gas,1750.0
12/30/2021 05:50:00,EST,Nuclear,3339.0
12/30/2021 05:50:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:50:00,EST,Other Renewables,248.0
12/30/2021 05:50:00,EST,Wind,39.0
12/30/2021 05:50:00,EST,Hydro,2930.0
12/30/2021 05:55:00,EST,Dual Fuel,3575.0
12/30/2021 05:55:00,EST,Natural Gas,1790.0
12/30/2021 05:55:00,EST,Nuclear,3338.0
12/30/2021 05:55:00,EST,Other Fossil Fuels,3.0
12/30/2021 05:55:00,EST,Other Renewables,248.0
12/30/2021 05:55:00,EST,Wind,39.0
12/30/2021 05:55:00,EST,Hydro,2969.0
